<GROUP>
4000-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット、インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット、インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,Ethernetユニット、FL-netユニットなどのエラー,Ethernetユニット、FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
</GROUP>
<ERRCODE>
F101,イニシャル状態-ネットワーク起動中,SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。
F102,イニシャル状態-ネットワーク起動中,SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。
F103,イニシャル状態-オンラインテスト中,SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。
F104,イニシャル状態-管理局／サブ管理局移行状態,SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。
F105,イニシャル状態-パラメータ処理中,SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。
F106,管理局ダウン→サブ管理局移行状態,管理局の電源事情、ケーブル事情，管理局CPU状態を確認する。
F107,バトンパス状態-バトン消失,ケーブル不良，終端抵抗なし等の回線状態および、電源断局の有無をチェックする。
F108,バトンパス状態-バトン重複,"設定確認テスト（4.8.2項）で局番重複，管理局重複をチェックする。
ケーブル不良，断線，コネクタ接続不良，接続ミス，終端抵抗のつけ忘れ，緩みなどをチェックする。"
F109,イニシャル状態-オンラインテスト中,SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。
F10A,イニシャル状態-(オンラインテスト/オフラインループテスト中） ,オンラインテスト実行時：SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。オフラインテスト実行時：テスト終了後、スイッチ設定をオンラインに変更する。
F10B,局番重複エラー,局番を設定を見直す。ネットワーク診断の設定確認テストが有効である。
F10D,管理局重複エラー,管理局設定を見直す。ネットワーク診断の設定確認テストが有効である。
F10D,オフライン状態,モード設定を見直し、オンラインにする。
F10E,受信エラーリトライオーバー,ケーブル不良，H/W不良，ケーブル配線ミス，（バス時）終端抵抗なし，局番重複，管理局重複等をチェックする。ネットワーク診断の設定確認テスト，ループテストが有効である。
F10F,送信エラーリトライオーバー,ケーブル不良，H/W不良，ケーブル配線ミス，（バス時）終端抵抗なし，局番重複，管理局重複等をチェックする。ネットワーク診断の設定確認テスト，ループテストが有効である。
F110,タイムアウトエラー,ケーブル不良，H/W不良，ケーブル配線ミス，（バス時）終端抵抗なし，局番重複，管理局重複等をチェックする。ネットワーク診断の設定確認テスト，ループテストが有効である。
F111,該当局異常（該当局バトンパス未実施）,該当局の状態見直し、パラメータ，スイッチ設定見直し（パラメータエラーになってないか、該当局が管理局で正しく設定されているか確認）する。該当局の電源状態（入り/切りを繰り返していないか）を確認する。ケーブル不良，H/W不良，ケーブル配線ミス，（バス時）終端抵抗なし，局番重複，管理局重複等をチェックする。ネットワーク診断の設定確認テスト，ループテストが有効である。
F112,ループ状態不良,"ケーブル不良，ハードウェア不良，配線ミス，局番重複，管理局重複，リモートマスタ局重複をチェックする。
各ユニットの電源状態（入り/切りを繰り返していないか）を確認する。
MELSECNET/HモードとMELSECNET/10モードのネットワークユニットが混在していないか。（管理局種別を確認する。）"
F113,送信失敗（自局バトンパス未実施）,時間をおいてリトライする。リトライしてもエラーになるときは、ケーブル不良，H/W不良，ケーブル配線ミス，終端抵抗なし，局番重複，管理局重複，リモートマスタ局重複等をチェックする。（パラメータエラーになってないか、該当局が管理局で正しく設定されているか確認する。）SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。
F114,送信失敗,時間をおいてリトライする。リトライしてもエラーになるときは、ケーブル不良，H/W不良，ケーブル配線ミス，終端抵抗なし，局番重複，管理局重複，リモートマスタ局重複等をチェックする。SB0047（バトンパス状態），SB049（データリンク状態）が正常になるまで待つ。
F115,機能コード不適切,ケーブル不良，H/W不良，ケーブル配線ミス，局番重複，管理局重複等をチェックする。
F116,オンラインテスト処理遅延,ケーブル不良，H/W不良，ケーブル配線ミス，局番重複，管理局重複等をチェックする。
F117,送信失敗,ケーブル不良，ハードウェア不良，ノイズ，配線ミス，終端抵抗なし(バス時）をチェックする。
F118,送信失敗(バトン再生）  ,SB0047（バトンパス状態）／SB0049（データリンク状態）がOFF（正常）になるまで待つ。
F11A,送信失敗（多重ループ伝送中止）   ,時間をおいて再実行する。
F11B,解列中,"パラメータ，スイッチ設定を見直す。(パラメータエラーになってないか，該当局が管理局またはリモートマスタ局で正しく設定されているか確認する。)
ケーブル不良，ハードウェア不良，ノイズ，配線ミス，局番重複，管理局重複，リモートマスタ局重複をチェックする。"
F11C,システムエラー,ネットワークユニットのH/W故障です。最寄の支社または代理店に連絡ください。
F11F,イニシャル状態(自局宛バトンなし),"管理局/サブ管理局動作状態，ケーブル不良，ケーブル配線ミス，（バス時）終端抵抗なし，局番重複，管理局重複等をチェックする。
MELSECNET/Hモードと MELSECNET/10モードのネットワークユニットが混在していないか。（管理局種別を確認する。）"
F120,送信局指定エラー,ケーブル不良，ハードウェア不良，配線ミス，終端抵抗なし(バス時)，局番重複，管理局重複，リモートマスタ局重複をチェックする。
F122,送信失敗(同軸バスシステム),同軸ケーブルが接続されていない，コネクタ接続不良，終端抵抗が接続されていない，ケーブル不良をチェックする。
F221,システムエラー,ネットワークユニットのH/W故障です。最寄の支社または代理店に連絡ください。
F222,受信バッファ空なし(バッファフルエラー),時間をおいてリトライする。リトライしてもエラーになるときは、システム全体のトランジェント交信数、交信間隔を見直す。システム全体の電源を一度OFF/ONする。
F224,受信データサイズ異常,トランジェントの起動元局のユニットのH/W故障です。最寄の支社または代理店に連絡ください。
F225,論理チャンネル番号異常,トランジェントの起動元局のユニットのH/W故障です。最寄の支社または代理店に連絡ください。
F226,チャンネル番号異常,SEND命令の起動元で指定された論理チャンネル番号が、対象先のNET/Hに論理チャンネル番号が設定されているかをチェック。または、対象先のNET/Hで設定された論理チャンネル番号を指定する。
F228,SEND命令相手局異常,SEND命令の起動元で，コントロールデータの対象局ネットワークNo.，対象局番号を見直す。
F301,システムエラー,ネットワークユニットのH/W故障です。最寄の支社または代理店に連絡ください。
F701,送信対象局番異常(局番0指定),CPUユニットまたはネットワークユニットのH/W故障です。最寄の支社または代理店に連絡ください。
F702,送信対象局番異常(局番65以上指定),CPUユニットまたはネットワークユニットのH/W故障です。最寄の支社または代理店に連絡ください。
